Date;Period;BE;DE;FR;NL;RAM
06/08/2016;1;0;-1;0;0;4400
06/08/2016;1;-0.10274;-0.03509;-0.04229;0;233.545
06/08/2016;1;-0.09048;-0.2738;-0.16685;-0.41799;1412.1875
06/08/2016;1;-0.09885;-0.06501;-0.16941;0;293.541
06/08/2016;1;-0.15224;-0.08318;-0.15224;0;293.7366
06/08/2016;1;-0.04487;-0.24617;-0.3857;-0.15168;642.0483
06/08/2016;1;-0.05188;-0.06519;-0.1803;0;293.5941
06/08/2016;1;0;0;1;0;3348
06/08/2016;1;-0.01519;-0.08172;-0.18453;0;293.5121
06/08/2016;1;-0.10998;-0.04744;-0.06041;0;242.8977
06/08/2016;1;-0.07065;-0.00044;-0.0131;0.04396;254.8066
06/08/2016;1;0.02522;-0.05005;-0.05056;-0.03201;330.5931
06/08/2016;1;0.00908;0.27251;0.17832;0.02758;1075.4209
06/08/2016;1;-0.02692;-0.0704;-0.18475;0;294.0235
06/08/2016;1;0.00778;0.17927;0.09479;-0.07129;903.0128
06/08/2016;1;0;-0.06825;-0.16925;0;262.535
06/08/2016;1;0.00787;-0.05522;-0.13543;0;220.2361
06/08/2016;1;0;-0.07045;-0.16868;0;262.8473
06/08/2016;1;-0.10701;-0.0335;-0.04306;0;243.0456
06/08/2016;1;-0.11049;-0.03564;-0.05609;0;242.5125
06/08/2016;1;0.0041;0.07817;0.03596;-0.16172;748.3891
06/08/2016;1;-0.10674;-0.03434;-0.04256;0;242.7802
06/08/2016;1;0;0;0;-1;4250
06/08/2016;1;0.03422;-0.19694;-0.08239;-0.26998;1365.7665
06/08/2016;1;-0.15156;-0.08641;-0.15156;0;293.7285
06/08/2016;1;-0.10853;-0.04476;-0.05404;0;242.6648
06/08/2016;1;-0.10691;-0.03724;-0.04464;0;242.902
06/08/2016;1;-0.10697;-0.03753;-0.045;0;242.8157
06/08/2016;2;0;0;1;0;3458
06/08/2016;2;0;0;0;-1;4250
06/08/2016;2;-0.10194;-0.03127;-0.04023;0;231.7086
06/08/2016;2;0.02522;-0.05005;-0.05075;-0.03228;337.676
06/08/2016;2;-0.02398;-0.07846;-0.18259;0;292.5033
06/08/2016;2;-0.08614;-0.06629;-0.17128;0;293.1629
06/08/2016;2;-0.04487;-0.2462;-0.38706;-0.15302;764.4546
06/08/2016;2;0.02494;-0.04873;-0.06682;-0.02084;292.8139
06/08/2016;2;-0.11754;-0.06295;-0.10996;0;231.5851
06/08/2016;2;-0.10751;-0.0438;-0.0528;0;240.95
06/08/2016;2;0.03422;-0.19692;-0.08338;-0.26946;1388.6266
06/08/2016;2;-0.14289;-0.08343;-0.1536;0;292.6727
