Date	Period	BE	DE	FR
2016-08-06	1	4783.897	-4400	1216.459
2016-08-06	1	2849.16	-4400	333.4179
2016-08-06	1	3481.562	-4400	3348
2016-08-06	1	-2088.332	-4400	3348
2016-08-06	1	954.2054	-4400	279.4208
2016-08-06	1	231.6716	-4400	338.8978
2016-08-06	1	-1384.503	-4400	1955.072
2016-08-06	1	-1494.173	-4400	2154.733
2016-08-06	1	4788.071	-4400	1229.337
2016-08-06	1	1919.957	-4400	279.4208
2016-08-06	1	-2930.488	-2110.39	3348
2016-08-06	1	-2710.568	-2754.294	3348
2016-08-06	1	-2459.876	-494.6769	864.0536
2016-08-06	1	-2531.797	-1379.187	1772.7
2016-08-06	1	4737.101	158.2973	-645.3981
2016-08-06	1	4819.084	-688.8602	-265.9238
2016-08-06	1	2407.328	-1505.328	3348
2016-08-06	1	3241.43	-3399.89	3348
2016-08-06	1	-2668.933	5625.734	-2334.254
2016-08-06	1	-330.9124	-362.0438	-1400.707
2016-08-06	1	-325.9411	-359.0204	-1404.768
2016-08-06	1	-824.9437	6294.935	-3667.015
2016-08-06	1	-327.2602	-370.2047	-1399.707
2016-08-06	1	-1627.552	6218.308	-3169.292
2016-08-06	1	-2437.984	-333.2801	690.6488
2016-08-06	1	-2431.375	-362.0438	699.7552
2016-08-06	1	-2957.445	5325.384	-1881.638
2016-08-06	1	4793.664	-4354.853	1202.688
2016-08-06	1	2769.093	3634.136	-2947.06
2016-08-06	1	4348.179	1108.317	-1206.496
2016-08-06	1	-317.0393	-336.5252	-1415.463
2016-08-06	1	-107.0105	1113.239	-2000.08
2016-08-06	1	562.4055	5991.213	-3956.4
2016-08-06	1	405.1031	6092.963	-3947.926
2016-08-06	1	-4247.507	2009.409	3348
2016-08-06	1	-2568.47	2136.23	3348
2016-08-06	1	-3944.337	1040.987	3348
2016-08-06	1	1752.725	-850.7247	3348
2016-08-06	1	-2398.575	-3647.751	3348
2016-08-06	1	-2506.565	-3339.952	3348
2016-08-06	1	-242.0423	-492.4024	-1352.606
2016-08-06	1	-2246.982	-1110.795	942.2534
2016-08-06	1	-2461.83	-326.8111	733.5121
2016-08-06	1	-2453.846	-465.5972	825.467
2016-08-06	1	-2401.169	-508.5184	753.0598
2016-08-06	1	-2447.302	-508.7579	845.9082
2016-08-06	1	-2295.916	2773.383	2346.171
2016-08-06	1	-3638.289	3885.45	374.4806
2016-08-06	1	627.7058	5936.844	-3945.197
2016-08-06	1	1253.143	-492.4024	-1352.606
2016-08-06	1	1666.676	4861.262	-3511.469
2016-08-06	1	-2544.741	-66.59001	731.489
2016-08-06	2	1485.629	-693.6292	3458
2016-08-06	2	2306.131	-1514.131	3458
2016-08-06	2	-4177.964	1761.358	3458
2016-08-06	2	-3613.345	-79.29649	3458
2016-08-06	2	-2146.892	-4400	3458
2016-08-06	2	-2329.317	-3952.227	3458
2016-08-06	2	3504.801	-4400	3458
2016-08-06	2	3434.188	-4104.386	3458
2016-08-06	2	-3111.438	-1663.178	3458
2016-08-06	2	-3068.066	-1790.797	3458
2016-08-06	2	-2281.463	1938.569	3458
2016-08-06	2	4488.061	1585.652	-1823.713
2016-08-06	2	4973.699	405.897	-1129.596
2016-08-06	2	-3574.403	3654.33	457.2486
2016-08-06	2	-2523.608	-418.1513	960.0685
2016-08-06	2	-2452.569	-333.6052	714.3447
2016-08-06	2	-2452.571	-342.1716	721.0101
2016-08-06	2	4913.175	-4248.38	1100.447
2016-08-06	2	4887.717	-4400	1167.068
2016-08-06	2	4894.889	-4400	1189.395
2016-08-06	2	-332.9478	-330.058	-1416.413
2016-08-06	2	-332.4437	-325.6687	-1418.365
2016-08-06	2	216.7011	-4200.533	174.5663
2016-08-06	2	434.4238	-4400	231.6842
2016-08-06	2	1874.951	-4400	42.49613
2016-08-06	2	-2515.327	5643.216	-2630.672
2016-08-06	2	-1165.111	6353.153	-3584.486
2016-08-06	2	-768.8028	6363.122	-3787.655
2016-08-06	2	-332.3807	-324.1076	-1419.001
2016-08-06	2	5116.33	-1785.386	-191.2545
2016-08-06	2	4094.932	-4400	377.7318
2016-08-06	2	5119.085	-1090.737	-466.547
2016-08-06	2	3051.7	3904.459	-3410.659
2016-08-06	2	3140.081	-4400	-63.50548
2016-08-06	2	-2618.612	5540.668	-2478.888
2016-08-06	2	-538.0823	-4299.674	930.5706
2016-08-06	2	-2763.973	5373.366	-2227.729
2016-08-06	2	-2443.931	-336.2587	698.8184
2016-08-06	2	-819.8411	-4400	1289.187
2016-08-06	2	-1299.858	-4400	1802.294
2016-08-06	2	-2436.572	-370.9969	710.8388
2016-08-06	2	-1528.473	-4400	2198.79
2016-08-06	2	-2432.961	-471.5776	781.6806
2016-08-06	2	-2430.837	-471.5681	777.3483
2016-08-06	2	-2909.028	-1245.383	2606.668
2016-08-06	2	-1869.064	2899.779	1950.456
2016-08-06	2	731.2225	6099.587	-4102.948
2016-08-06	2	717.2987	6104.527	-4103.777
2016-08-06	2	643.4381	6123.323	-4097.017
2016-08-06	2	-198.163	526.8374	-1773.983
2016-08-06	3	-604.7911	-4400	915.2606
2016-08-06	3	-510.3388	-4342.026	765.7284
2016-08-06	3	116.0402	-4400	309.4988
2016-08-06	3	-241.8948	92.81441	-1599.002
2016-08-06	3	672.911	6116.107	-4151.504
2016-08-06	3	822.3257	6001.737	-4138.66
2016-08-06	3	4847.562	-3517.485	786.5836
2016-08-06	3	4699.628	-4400	1175.803
2016-08-06	3	4741.187	-4400	1305
2016-08-06	3	-320.3462	-378.8859	-1397.186
2016-08-06	3	-326.8196	-396.6201	-1388.604
