Date;Period;BE;DE;FR;NL;RAM;Row;Num_date
01/11/2015;1;-0.27727;-0.10024;-0.18471;0;556.86511;17;20151101
01/11/2015;1;0;0;1;0;5101;21;20151101
01/11/2015;1;0.02063;0.12049;0.05709;0.37601;1064.21626;35;20151101
01/11/2015;1;0;-1;0;0;6000;51;20151101
01/11/2015;1;-0.05567;0.04936;0.06749;0.0217;567.86871;58;20151101
01/11/2015;1;0.01468;-0.01691;-0.10106;-0.00544;454.71181;73;20151101
01/11/2015;1;-0.29909;-0.13532;-0.26075;0;556.87929;96;20151101
01/11/2015;1;0.15028;-0.12838;-0.01786;-0.17978;992.68766;117;20151101
01/11/2015;1;0;0;0;1;4250;118;20151101
01/11/2015;1;0.01261;0.19006;0.08618;-0.10605;1060.95217;121;20151101
01/11/2015;1;-1;0;0;0;4500;136;20151101
01/11/2015;1;0.23561;0.18414;0.1724;0.16129;191.85349;144;20151101
01/11/2015;1;-0.28035;-0.11188;-0.20032;0;556.52043;160;20151101
01/11/2015;1;0.14158;-0.17667;-0.08911;-0.21013;1010.12611;162;20151101
01/11/2015;1;0.05567;-0.04936;-0.06749;-0.0217;242.13129;185;20151101
01/11/2015;1;0;0;0;-1;4250;200;20151101
01/11/2015;1;-0.31693;-0.13964;-0.24401;0;621.01177;227;20151101
01/11/2015;1;-0.0017;0.02968;-0.03272;0.01932;298.57338;237;20151101
01/11/2015;1;0.01604;0.2682;0.16741;-0.02249;1278.53472;238;20151101
01/11/2015;1;-0.2857;-0.10402;-0.20696;0;556.91944;262;20151101
01/11/2015;1;0.02456;-0.16266;0.08001;-0.10744;928.6277;325;20151101
01/11/2015;1;-0.21041;-0.23574;-0.36332;-0.1658;585.35479;356;20151101
01/11/2015;1;-0.30928;-0.11181;-0.20604;0;621.15719;380;20151101
01/11/2015;1;-0.28803;-0.13347;-0.2338;0;556.66888;424;20151101
01/11/2015;1;-0.33033;-0.15681;-0.28752;0;621.45936;465;20151101
01/11/2015;2;-0.09118;0.23055;0.09159;0.28422;1289.29637;7;20151101
01/11/2015;2;-0.01618;-0.26922;-0.16832;0.03842;1494.32016;8;20151101
01/11/2015;2;-0.21025;-0.23442;-0.36181;-0.16125;739.81139;19;20151101
